Date,High,Open,Low,Close,Volume
2021-12-31 04:00:00,475.83,475.83,475.83,475.83,2.0
2021-12-31 04:01:00,475.83,475.83,475.83,475.83,0.0
2021-12-31 04:02:00,475.83,475.83,475.78,475.78,5.32
2021-12-31 04:03:00,475.82,475.82,475.82,475.82,6.14
2021-12-31 04:04:00,475.87,475.87,475.87,475.87,2.45
2021-12-31 04:05:00,475.87,475.87,475.87,475.87,0.0
2021-12-31 04:06:00,475.9,475.89,475.89,475.9,7.2
2021-12-31 04:07:00,475.9,475.9,475.9,475.9,0.0
2021-12-31 04:08:00,476.08,476.0,475.99,476.08,3.47
2021-12-31 04:09:00,476.03,476.03,476.03,476.03,1.0
2021-12-31 04:10:00,476.03,476.03,476.03,476.03,0.0
2021-12-31 04:11:00,476.06,476.06,476.06,476.06,1.0
2021-12-31 04:12:00,476.06,476.06,476.06,476.06,0.0
2021-12-31 04:14:00,476.05,476.05,476.05,476.05,1.14
2021-12-31 04:15:00,476.05,476.05,476.05,476.05,0.0
2021-12-31 04:16:00,476.01,476.01,476.01,476.01,1.43
2021-12-31 04:17:00,475.93,475.93,475.93,475.93,1.0
2021-12-31 04:18:00,475.93,475.93,475.93,475.93,0.0
2021-12-31 04:21:00,475.59,475.59,475.59,475.59,1.0
2021-12-31 04:22:00,475.59,475.59,475.59,475.59,0.0
2021-12-31 04:28:00,475.65,475.65,475.65,475.65,1.9
2021-12-31 04:29:00,475.65,475.65,475.65,475.65,0.0
2021-12-31 04:34:00,475.67,475.67,475.67,475.67,1.0
2021-12-31 04:35:00,475.67,475.67,475.67,475.67,0.0
2021-12-31 04:40:00,475.77,475.77,475.77,475.77,2.0
2021-12-31 04:41:00,475.83,475.83,475.83,475.83,5.0
2021-12-31 04:44:00,475.79,475.79,475.79,475.79,1.0
2021-12-31 04:45:00,475.79,475.79,475.79,475.79,0.0
2021-12-31 05:00:00,475.88,475.88,475.88,475.88,1.0
2021-12-31 05:01:00,475.88,475.88,475.88,475.88,0.0
2021-12-31 05:06:00,475.75,475.75,475.75,475.75,7.8
2021-12-31 05:07:00,475.75,475.75,475.75,475.75,1.0
2021-12-31 05:08:00,475.75,475.75,475.75,475.75,0.0
2021-12-31 05:09:00,475.75,475.75,475.75,475.75,3.85
2021-12-31 05:14:00,475.7,475.7,475.7,475.7,1.0
2021-12-31 05:15:00,475.7,475.7,475.7,475.7,0.0
2021-12-31 05:20:00,475.7,475.7,475.7,475.7,3.56
2021-12-31 05:29:00,475.74,475.74,475.74,475.74,1.0
2021-12-31 05:30:00,475.79,475.79,475.79,475.79,1.8
2021-12-31 05:31:00,475.82,475.82,475.82,475.82,2.0
2021-12-31 05:32:00,475.82,475.82,475.82,475.82,0.0
2021-12-31 05:40:00,475.7,475.7,475.7,475.7,4.29
2021-12-31 05:44:00,475.52,475.52,475.52,475.52,15.46
2021-12-31 05:45:00,475.52,475.52,475.52,475.52,0.0
2021-12-31 05:47:00,475.51,475.5,475.5,475.51,24.8
2021-12-31 05:48:00,475.51,475.51,475.48,475.48,5.8
2021-12-31 05:49:00,475.43,475.43,475.43,475.43,1.0
2021-12-31 05:50:00,475.43,475.43,475.43,475.43,0.0
2021-12-31 05:52:00,475.47,475.47,475.47,475.47,2.0
2021-12-31 05:53:00,475.47,475.47,475.47,475.47,0.0
2021-12-31 05:56:00,475.57,475.57,475.57,475.57,1.0
2021-12-31 05:57:00,475.57,475.57,475.57,475.57,0.0
2021-12-31 05:58:00,475.54,475.54,475.54,475.54,1.0
2021-12-31 05:59:00,475.51,475.51,475.51,475.51,1.0
2021-12-31 06:00:00,475.56,475.48,475.48,475.56,18.48
2021-12-31 06:01:00,475.56,475.56,475.56,475.56,0.0
2021-12-31 06:05:00,475.41,475.41,475.27,475.27,37.57
2021-12-31 06:06:00,475.31,475.3,475.3,475.31,31.0
2021-12-31 06:07:00,475.2,475.2,475.11,475.17,73.0
2021-12-31 06:08:00,475.17,475.17,475.17,475.17,0.0
2021-12-31 06:10:00,475.09,475.09,475.09,475.09,1.0
2021-12-31 06:11:00,475.21,475.21,475.21,475.21,1.0
2021-12-31 06:12:00,475.23,475.22,475.22,475.22,9.0
2021-12-31 06:13:00,475.22,475.22,475.22,475.22,3.0
2021-12-31 06:14:00,475.22,475.22,475.22,475.22,15.14
2021-12-31 06:15:00,475.22,475.22,475.22,475.22,0.0
2021-12-31 06:16:00,475.36,475.33,475.33,475.36,49.0
2021-12-31 06:17:00,475.36,475.36,475.36,475.36,0.0
2021-12-31 06:18:00,475.3,475.3,475.3,475.3,1.14
2021-12-31 06:19:00,475.3,475.3,475.3,475.3,0.0
2021-12-31 06:20:00,475.35,475.35,475.35,475.35,1.0
2021-12-31 06:21:00,475.35,475.35,475.34,475.34,4.0
2021-12-31 06:22:00,475.39,475.39,475.39,475.39,1.1
2021-12-31 06:23:00,475.39,475.39,475.39,475.39,9.03
2021-12-31 06:24:00,475.39,475.39,475.39,475.39,0.0
2021-12-31 06:25:00,475.31,475.31,475.3,475.3,24.8
2021-12-31 06:26:00,475.37,475.35,475.35,475.36,18.81
2021-12-31 06:27:00,475.42,475.42,475.42,475.42,5.0
2021-12-31 06:28:00,475.42,475.42,475.42,475.42,0.0
2021-12-31 06:35:00,475.3,475.3,475.3,475.3,18.42
2021-12-31 06:36:00,475.3,475.3,475.3,475.3,18.8
2021-12-31 06:37:00,475.33,475.33,475.3,475.3,29.99
2021-12-31 06:38:00,475.32,475.32,475.32,475.32,1.65
2021-12-31 06:39:00,475.32,475.32,475.32,475.32,0.0
2021-12-31 06:41:00,475.36,475.36,475.36,475.36,12.0
2021-12-31 06:42:00,475.39,475.36,475.36,475.39,27.67
2021-12-31 06:45:00,475.34,475.33,475.33,475.34,6.0
2021-12-31 06:46:00,475.34,475.34,475.34,475.34,0.0
2021-12-31 06:47:00,475.32,475.32,475.3,475.3,44.68
2021-12-31 06:48:00,475.3,475.3,475.3,475.3,96.0
2021-12-31 06:49:00,475.3,475.3,475.3,475.3,69.0
2021-12-31 06:50:00,475.31,475.3,475.29,475.3,40.8
2021-12-31 06:51:00,475.19,475.19,475.11,475.11,2.0
2021-12-31 06:52:00,475.11,475.11,475.11,475.11,0.0
2021-12-31 06:57:00,475.01,475.01,474.96,475.0,312.84
2021-12-31 06:58:00,474.98,474.98,474.98,474.98,1.0
2021-12-31 06:59:00,475.07,475.06,475.06,475.07,16.0
2021-12-31 07:00:00,475.09,475.06,474.97,474.99,49.26
2021-12-31 07:01:00,474.98,474.98,474.97,474.97,5.56
2021-12-31 07:02:00,474.97,474.97,474.95,474.95,3.45
2021-12-31 07:03:00,474.92,474.92,474.85,474.85,11.45
2021-12-31 07:04:00,474.87,474.85,474.85,474.87,9.55
2021-12-31 07:05:00,474.87,474.87,474.82,474.82,26.09
2021-12-31 07:06:00,474.81,474.81,474.79,474.79,8.59
2021-12-31 07:07:00,474.83,474.83,474.69,474.7,17.85
2021-12-31 07:08:00,474.69,474.69,474.69,474.69,6.0
2021-12-31 07:09:00,474.74,474.69,474.69,474.73,484.7
2021-12-31 07:10:00,474.87,474.72,474.72,474.87,24.0
2021-12-31 07:11:00,474.89,474.89,474.87,474.88,15.5
2021-12-31 07:12:00,474.9,474.89,474.87,474.89,25.5
2021-12-31 07:13:00,474.97,474.93,474.92,474.97,15.99
2021-12-31 07:14:00,474.96,474.96,474.94,474.94,9.0
2021-12-31 07:15:00,475.1,474.96,474.96,475.1,19.1
2021-12-31 07:16:00,475.09,475.08,475.04,475.06,11.61
2021-12-31 07:17:00,475.06,475.05,475.01,475.01,42.3
2021-12-31 07:18:00,475.08,475.02,475.02,475.08,15.0
2021-12-31 07:19:00,475.09,475.08,475.08,475.08,19.3
